,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
leader_left_the_clan,,{0} left the clan! {1} is now the new leader.,¡{0} abandonó el clan! {1} es ahora el nuevo líder.,{0} poistui klaanista! {1} on nyt uusi johtaja.,{0} hat den Clan verlassen! {1} ist jetzt Anführer.,{0}が脱退しました！{1}が新しいリーダーになりました。,{0} deixou o clã! {1} agora é o novo líder.,{0} a quitté le clan ! {1} est désormais le nouveau chef.,{0} ha lasciato il clan! {1} è il nuovo leader.,{0}이 클랜을 탈퇴했습니다! 이제 {1}이 새로운 리더가 되었습니다.,{0} klandan ayrıldı! {1} artık yeni lider.,{0} opuścił klan! {1} jest teraz nowym przywódcą,,,,,,,,,,,,,,,
guild_member_promoted_body,,{0} was promoted!,¡{0} fue ascendido!,{0} ylennettiin!,{0} wurde befördert,{0}が昇格しました！,{0} foi promovido(a)!,{0} a été promu !,{0} è stato promosso!,{0}이 승진했습니다!,{0} terfi etti!,{0} został awansowany!,,,,,,,,,,,,,,,
guild_member_demoted_body,,{0} was demoted,{0} fue degradado,{0} alennettiin,{0} wurde degradiert,{0}が降格しました,{0} foi rebaixado(a),{0} a été rétrogradé,{0} è stato degradato!,{0}이 강등되었습니다!,{0}'ın rütbesi düşürüldü.,{0} został zdegradowany,,,,,,,,,,,,,,,
guild_member_left_body,,{0} left the clan,{0} dejó el clan,{0} lähti klaanista,{0} hat den Clan verlassen,{0}が脱退しました,{0} deixou o clã,{0} a quitté le clan,{0} ha lasciato il clan,{0}이 클랜을 탈퇴했습니다.,{0} klandan ayrıldı,{0} opuścił klan,,,,,,,,,,,,,,,
leave_guild,,Leave clan,Abandonar clan,Poistu klaanista,Clan verlassen,クランを離脱,Sair do clã,Quitter le clan,Lascia clan,클랜 탈퇴,Klanı terk et,Opuść klan,,,,,,,,,,,,,,,
delete_guild,,Delete clan,Eliminar clan,Poista klaani,Clan auflösen,クランを削除,Excluir o clã,Supprimer le clan,Cancella clan,클랜 삭제,Klanı sil,Usuń klan,,,,,,,,,,,,,,,
guild_member_offline,,{0}'s stats would appear here if they were online!,¡Las estadísticas de {0} aparecerían aquí si estuvieran en línea!,{0}:n statsit näkyisivät tässä jos he olisivat pelissä!,{0}'s statistiken würden hier angezeigt werden wenn die person online wäre,0}がオンラインであれば、{0}のステータスはここに表示されます！,As estatísticas de(a) {0} apareceriam aqui se ele estivesse on-line!,Les statistiques de {0} apparaîtraient ici si elles étaient en ligne !,Le statistiche di {0} apparirebbero qui se fosse online!,{0}의 상태가 온라인 상태면 여기에 표시됩니다!,Çevrimiçi olsalardı {0}'ın istatistikleri burada görünürdü!,"Statystyki {0} pojawiłyby się tutaj, gdyby był online!",,,,,,,,,,,,,,,
grant_vault_access,,Grant vault access,Conceder acceso a la bóveda,Myönnä oikeudet holviin,Zugang zum Clantresor geben,保管庫へのアクセスを許可する,Conceder acesso ao cofre,Accorder l'accès au coffre-fort,Garantisci accesso al vault,금고 접근 권한 부여,Kasa erişimi ver,Przyznanie dostępu do skarbca,,,,,,,,,,,,,,,
revoke_vault_access,,Revoke vault access,Revocar acceso a la bóveda,Kumoa oikeudet holviin,Zugang zum Clantresor zurückziehen,保管庫へのアクセスを取り消す,Revogar acesso ao cofre,Révoquer l'accès au coffre-fort,Revoca accesso al vault,금고 접근 권한 취소,Kasa erişimini iptal et,Cofnij dostęp do skarbca,,,,,,,,,,,,,,,
guild_already_exists,,Clan already exists!,El clan ya existe,Klaani on jo olemassa,Dieser Clan existiert bereits,クランはすでに存在しています！,O clã já existe!,Le clan existe déjà !,Questo clan esiste già!,클랜이 이미 존재합니다!,Klan zaten var!,Klan już istnieje!,,,,,,,,,,,,,,,
guild_invalid_characters,,Clan name has invalid characters,El nombre del clan tiene caracteres no válidos,Klaanin nimessä on virheellisiä merkkejä!,Der Clan Name enthällt ungültige Zeichen,クラン名に無効な文字があります,O nome do clã tem caracteres inválidos,Le nom du clan contient des caractères non valides,Il nome del clan contiene caratteri non validi,클랜 이름에 잘못된 문자가 있습니다,Klan adında geçersiz karakterler var,Nazwa klanu zawiera nieprawidłowe znaki,,,,,,,,,,,,,,,
guild_name_too_long,,Proposed clan name is too long! It must be {0}-{1} letters.,El nombre de clan propuesto es demasiado largo. Debe tener {0}-{1} letras.,Klaanin nimi liian pitkä! Sen tulisi olla {0}-{1} merkkiä,Der Clanname muss zwischen {0}-{1} zeichen lang seien!,提案されたクラン名が長すぎます！0}-{1}文字でなければなりません。,O nome do clã proposto é muito longo! Ele deve ter de {0} a {1} letras.,Le nom de clan proposé est trop long ! Il doit comporter {0}-{1} lettres.,Il nome del clan è troppo lungo! Deve avere {0}-{1} caratteri.,작성된 클랜 이름이 너무 깁니다! 0}-{1}자이어야 합니다.,Önerilen klan adı çok uzun! {0}-{1} harf olmalıdır.,Proponowana nazwa klanu jest zbyt długa! Musi składać się z {0}-{1} liter.,,,,,,,,,,,,,,,
guild_name_too_short,,Proposed clan name is too short! It must be {0}-{1} letters.,El nombre de clan propuesto es demasiado corto. Debe tener {0}-{1} letras.,Klaanin nimi liian lyhyt! Sen tulisi olla {0}-{1} merkkiä,Der Clanname muss zwischen {0}-{1} zeichen lang seien!,提案されたクラン名が短すぎます！0}-{1}文字でなければなりません。,O nome do clã proposto é muito curto! Deve ter de {0} a {1} letras.,Le nom de clan proposé est trop court ! Il doit comporter {0}-{1} lettres.,Il nome del clan è troppo corto! Deve avere {0}-{1} caratteri.,작성된 클랜 이름이 너무 짧습니다! {0}-{1}글자 이상이어야 합니다.,Önerilen klan adı çok kısa! {0}-{1} harf olmalıdır.,Proponowana nazwa klanu jest za krótka! Musi składać się z {0}-{1} liter.,,,,,,,,,,,,,,,
guild_creation_requirements_not_met,,You don't meet the requirements to create a clan,No cumples los requisitos para crear un clan,Et täytä vaatimuksia klaanin luomiseen!,Du erfüllst nicht die vorraussetzungen um einen Clan zu erstellen,クランを作成するための条件を満たしていません。,Você não atende aos requisitos para criar um clã,Vous ne remplissez pas les conditions pour créer un clan,Non hai i requisiti necessari per creare un clan,클랜 생성 요건을 충족하지 못합니다.,Bir klan oluşturmak için gereken şartları karşılamıyorsunuz,Nie spełniasz wymagań do utworzenia klanu.,,,,,,,,,,,,,,,
invited_player_is_already_in_a_guild,,Invited player is already in another clan,El jugador invitado ya está en otro clan,Kutsuttu pelaaja on jo toisessa klaanissa,Eingeladener Spieler ist bereits in einem anderen Clan,招待されたプレイヤーがすでに他のクランに所属している,O jogador convidado já está em outro clã,Le joueur invité fait déjà partie d'un autre clan,Il giocatore invitato è già in un altro clan,초대받은 플레이어가 이미 다른 클랜에 가입되어 있습니다.,Davet edilen oyuncu zaten başka bir klanda,Zaproszony gracz jest już w innym klanie,,,,,,,,,,,,,,,
other_player_is_offline,,That player is offline or does not exist,Ese jugador está desconectado o no existe,Tuo pelaaja on offlline-tilassa tai häntä ei ole olemassa,Der Spieler ist offline oder existiert nicht,そのプレイヤーがオフラインまたは存在しない,Esse jogador está off-line ou não existe,Ce joueur est hors ligne ou n'existe pas,Questo giocatore è offline oppure non esiste,해당 플레이어가 오프라인 상태이거나 존재하지 않습니다.,Bu oyuncu çevrimdışı veya mevcut değil,Ten gracz jest offline lub nie istnieje,,,,,,,,,,,,,,,
guild_is_full,,Clan is full!,El clan está lleno,Klaani on täynnä!,Clan ist bereits voll,クランが満員です！,O clã está cheio!,Le clan est complet !,Il clan è pieno!,클랜이 가득 찼습니다!,Klan doldu!,Klan jest pełny!,,,,,,,,,,,,,,,
application_already_active,,Application already active,La solicitud ya está activa,Hakemus on jo vireillä,Bewerbung bereits aktiv,申請がすでに有効,A inscrição já está ativa,La demande déjà active,Domanda già attiva,이미 신청했습니다.,Başvuru zaten aktif,Aplikacja jest już aktywna,,,,,,,,,,,,,,,
application_has_expired,,Application has expired,La solicitud ha caducado,Hakemus on vanhentunut,Bewerbung ist abgelaufen,申請の有効期限が切れています,A inscrição expirou,La demande a expiré,Domanda scaduta,신청 기간이 만료되었습니다.,Başvuru süresi doldu,Aplikacja wygasła,,,,,,,,,,,,,,,
invitation_has_expired,,Invitation has expired,La invitación ha caducado,Kutsu on vanhentunut,Einladung ist abgelaufen,招待の有効期限が切れています,O convite expirou,L'invitation a expiré,L'invito è scaduto,초대가 만료되었습니다,Davetiyenin süresi doldu,Zaproszenie wygasło,,,,,,,,,,,,,,,
guild_not_found,,Clan not found! Check your spelling.,¡Clan no encontrado! Revisa tu ortografía.,Klaania ei löytynyt! Tarkista oikeinkirjoituksesi,Clan wurde nicht gefunden! Überprüfe die Schreibweise.,クランが見つかりません！スペルを確認してください。,Clã não encontrado! Verifique sua ortografia.,Clan introuvable ! Vérifiez votre orthographe.,"Clan non trovato, ricontrolla bene.",클랜을 찾을 수 없습니다! 클랜명을 확인하세요.,Klan bulunamadı! Yazımını kontrol et.,Nie znaleziono klanu! Sprawdź pisownię.,,,,,,,,,,,,,,,
withdraw,,Withdraw,Retirar,Nosta,Abheben,脱退,Retirar,Retirer,Ritiro,출금,Çekmek,Wyciagnij,,,,,,,,,,,,,,,
guild_house_not_owned,,Your clan doesn't own a house! Purchase one to unlock benefits for everyone in the clan.,¡Tu clan no tiene casa! Compra una para desbloquear beneficios para todos en el clan.,Klaanillasi ei ole asutusta! Osta klaanille talo niin jokainen klaanin jäsen pääsee nauttimaan sen antimista.,Dein Clan besitzt kein Haus! Kaufe eins um vorteile für alle Clanmitglieder freizuschalten.,あなたのクランはハウスを所有していません！購入すると、クラン内の全員の特典が解除されます。,Seu clã não possui uma casa! Compre uma para desbloquear benefícios para todos no clã.,Votre clan ne possède pas de maison ! Achetez-en une pour débloquer des avantages pour tous les membres du clan.,Il tuo clan non possiede una casa! Comprane uno per sbloccare dei benefici per i membri.,클랜에 주택이 없습니다! 집을 구입해 클랜원 모두에게 혜택을 제공하세요.,Klanınızın bir evi yok! Klandaki herkes için avantajların kilidini açmak için bir tane satın alın.,"Twój klan nie posiada domu! Kup dom, aby odblokować korzyści dla wszystkich członków klanu.",,,,,,,,,,,,,,,
only_guild_leader_can_buy_house,,Only the clan leader can purchase housing for the clan!,¡Sólo el líder del clan puede comprar viviendas para el clan!,Vain klaanin omistaja voi ostaa klaanille asuntoja!,Nur der Clananführer kann ein Haus für den Clan kaufen!,クランのハウジングを購入できるのはクランリーダーだけです！,Somente o líder do clã pode comprar moradia para o clã!,Seul le chef de clan peut acheter un logement pour le clan !,Solo il capo del clan può comprare una casa!,클랜 리더만 클랜의 주택을 구매할 수 있습니다!,Sadece klan lideri klan için konut satın alabilir!,Tylko przywódca klanu może kupić dom dla klanu!,,,,,,,,,,,,,,,
only_guild_leaders_can_do_this,,Only the clan leaders can do this action!,¡Sólo los líderes de clan pueden realizar esta acción!,Vain klaanin omistajat voivat tehdä tuon!,Nur Clananführer können dies tun!,このアクションを行えるのはクランリーダーだけです！,Somente os líderes do clã podem realizar essa ação!,Seuls les chefs de clan peuvent réaliser cette action !,Solo il capo del clan può farlo!,이 행동은 클랜 리더만 할 수 있습니다!,Bu eylemi sadece klan liderleri yapabilir!,Tylko przywódcy klanów mogą wykonać tę akcję!,,,,,,,,,,,,,,,
missing_items_for_guild_house_purchase,,Your clan doesn't have the item requirements to purchase this house! Note that they need to be in the clan vault.,¡Tu clan no tiene los requisitos de objetos para comprar esta casa! Ten en cuenta que deben estar en la bóveda del clan.,"Klaanillasi ei ole tarvittavia tavaroita tämän talon ostamiseen! Huomaa, että tavaroiden tulee olla klaanin holvissa.",Dein Clan besitzt nicht die nötigen gegenstände um dieses Haus zu kaufen! Die Ressourcen müssen im Clantressor seien.,あなたのクランにはこの家を購入するためのアイテムがありません！クランの保管庫にある必要があります。,Seu clã não tem os requisitos de itens para comprar essa casa! Observe que eles precisam estar no cofre do clã.,Votre clan n'a pas les objets nécessaires pour acheter cette maison ! Notez qu'ils doivent se trouver dans le coffre-fort du clan.,Il tuo clan non possiede gli oggetti requisiti per comprare questa casa! Ricorda che devono essere inseriti nel magazzino del clan.,클랜에 주택을 구매할 수 있는 아이템이 없습니다! 아이템은 클랜 금고에 있어야 합니다.,Klanınız bu evi satın almak için gerekli eşyalara sahip değil! Bunların klan kasasında olması gerektiğini unutmayın.,"Twój klan nie posiada przedmiotów wymaganych do zakupu tego domu! Należy pamiętać, że muszą one znajdować się w skarbcu klanu.",,,,,,,,,,,,,,,
missing_skills_for_guild_house_purchase,,Your clan doesn't have the required skills to purchase this!,Tu clan no tiene las habilidades necesarias para comprar esta casa.,Klaanillasi ei ole tarvittavia taitoja tähän ostokseen!,Dein Clan hat nicht die nötigen Fertigkeitslevel um dies zu kaufen!,あなたのクランには、この家を購入するのに必要なスキルがありません！,Seu clã não tem as habilidades necessárias para comprar isso!,Votre clan n'a pas les compétences requises pour acheter ce produit !,Il tuo clan non possiede le abilità richieste per comprarlo!,클랜이 주택을 구매하기 위한 필수 스킬이 없습니다!,Klanınız bunu satın almak için gerekli becerilere sahip değil!,Twój klan nie posiada umiejętności wymaganych do zakupu tego domu!,,,,,,,,,,,,,,,
missing_clan_credits_for_guild_house_purchase,,Your clan doesn't have the required Clan Credits to buy this house,Tu clan no tiene los créditos de clan necesarios para comprar esta casa.,Klaanillasi ei ole tarpeeksi klaanikredittejä tähän ostokseen!,Dein Clan hat nicht genug Clancredits um dieses Haus zu kaufen,あなたのクランには、この家を購入するのに必要なクラン・クレジットがありません。,Seu clã não tem os créditos de clã necessários para comprar essa casa,Votre clan n'a pas les crédits clan nécessaires pour acheter cette maison.,Il tuo clan non possiede i Crediti Clan richiesti per comprare questa casa,클랜이 주택을 구입하는데 필요한 클랜 크레딧이 없습니다.,Klanınız bu evi satın almak için gerekli Klan Kredisine sahip değil,"Twój klan nie posiada wystarczająco kredytów klanowych, aby kupić ten dom.",,,,,,,,,,,,,,,
skill_requirements,,Skill requirements,Habilidades requeridas,Taitovaatimukset,Fertigkeitsvoraussetzungen,必要スキル,Requisitos de habilidade,Compétences requises,Abilità richieste,스킬 요구 사항,Beceri gereksinimleri,Wymagania dotyczące umiejętności,,,,,,,,,,,,,,,
clan_credits_cost,,Clan credit cost,Coste de los créditos de clan,Klaanikreditti hinta,Clancreditkosten,クラン・クレジットコスト,Custo de créditos do clã,Coût du crédit de clan,Costo credito del clan,클랜 크레딧 비용,Klan kredi maliyeti,Koszt kredytów klanowych,,,,,,,,,,,,,,,
vault_is_full,,The clan vault has reached its maximum capacity! Unlock more space by upgrading your housing in the Property tab.,La bóveda del clan ha alcanzado su capacidad máxima. Desbloquea más espacio mejorando tu vivienda en la pestaña Propiedad.,Klaanin holviin ei mahdu enempää tavaraa! Hanki lisää tilaa päivittämällä klaanisi asunto!,Der Clantresor hat seine maximallkapazität erreicht! schalte mehr platz frei indem du das Clanhaus verbesserst.,クラン金庫の容量が上限に達しています！プロパティタブでハウジングをアップグレードして、より広いスペースを確保しましょう。,O cofre do clã atingiu sua capacidade máxima! Libere mais espaço atualizando sua moradia na guia Propriedade.,Le coffre du clan a atteint sa capacité maximale ! Débloquez plus d'espace en améliorant votre logement dans l'onglet Propriété.,,부족 금고가 최대 용량에 도달했습니다! 속성 탭에서 주택 업그레이드하여 더 많은 공간을 확보하세요.,Klan kasası maksimum kapasitesine ulaştı! Mülk sekmesinde konutunuzu yükselterek daha fazla alanın kilidini açın.,"Skarbiec klanowy osiągnął maksymalną pojemność! Odblokuj więcej miejsca, ulepszając swój dom w zakładce Nieruchomości.",,,,,,,,,,,,,,,
clan_house,,Clan house,Casa del clan,Klaanitalo,Clanhaus,クランハウス,Casa do clã,Maison du clan,Casa del clan,클랜 주택,Klan evi,Dom klanowy,,,,,,,,,,,,,,,
guild_house_upgraded,,Your clan house has been upgraded!,¡Tu casa del clan ha sido mejorada!,Klaanin asunto on päivitetty!,Dein Clanhaus wurde verbessert,クランハウスがアップグレードされました！,A casa do seu clã foi aprimorada!,La maison de votre clan a été améliorée !,La casa del clan è stata migliorata!,주택을 업그레이드했습니다!,Klan eviniz yükseltildi!,Twój dom klanowy został ulepszony!,,,,,,,,,,,,,,,
upgrade,,Upgrade,Mejora,Päivitä,Verbessern,アップグレード,Upgrade,Amélioration,Migliora,업그레이드,Yükseltme,Ulepszenie,,,,,,,,,,,,,,,
clan_credits,,Clan credits,Créditos de clan,Klaanikreditit,Halte es geräumig,クランクレジット,Créditos do clã,Crédits du clan,Crediti del clan,클랜 크레딧,Klan kredileri,Kredyty klanowe,,,,,,,,,,,,,,,
clan_credits2,,Clan credits:,Créditos de clan:,Klaanikreditit:,Clancredite:,クランクレジット,Créditos do clã:,Crédits du clan :,Crediti del clan:,클랜 크레딧: {0},Klan kredileri:,Kredyty klanowe:,,,,,,,,,,,,,,,
